DATE,WALCL
2013-03-20,3206888
2013-03-27,3202256
2013-04-03,3215432
2013-04-10,3227762
2013-04-17,3295109
2013-04-24,3318649
2013-05-01,3317194
2013-05-08,3324615
2013-05-15,3354269
2013-05-22,3398713
2013-05-29,3385128
2013-06-05,3400183
2013-06-12,3410842
2013-06-19,3470530
2013-06-26,3478672
2013-07-03,3492742
2013-07-10,3504095
2013-07-17,3537861
2013-07-24,3574574
2013-07-31,3571797
2013-08-07,3585359
2013-08-14,3646323
2013-08-21,3645668
2013-08-28,3644456
2013-09-04,3654182
2013-09-11,3662035
2013-09-18,3722192
2013-09-25,3734018
2013-10-02,3747387
2013-10-09,3758663
2013-10-16,3813599
2013-10-23,3839033
2013-10-30,3843396
2013-11-06,3851623
2013-11-13,3907424
2013-11-20,3906620
2013-11-27,3925876
2013-12-04,3932626
2013-12-11,3993955
2013-12-18,4008062
2013-12-25,4032575
2014-01-01,4023640
2014-01-08,4028185
2014-01-15,4071528
2014-01-22,4097914
2014-01-29,4102138
2014-02-05,4109285
2014-02-12,4119474
2014-02-19,4149224
2014-02-26,4159972
2014-03-05,4171762
2014-03-12,4181361
2014-03-19,4222081
2014-03-26,4226971
2014-04-02,4236441
2014-04-09,4244188
2014-04-16,4283967
2014-04-23,4296339
2014-04-30,4296049
2014-05-07,4303143
2014-05-14,4336649
2014-05-21,4327560
2014-05-28,4322654
2014-06-04,4330917
2014-06-11,4340904
2014-06-18,4368168
2014-06-25,4368348
2014-07-02,4377031
2014-07-09,4383401
2014-07-16,4398201
2014-07-23,4410746
2014-07-30,4406637
2014-08-06,4410111
2014-08-13,4431923
2014-08-20,4412924
2014-08-27,4413736
2014-09-03,4415587
2014-09-10,4421408
2014-09-17,4449588
2014-09-24,4459050
2014-10-01,4450260
2014-10-08,4455403
2014-10-15,4474360
2014-10-22,4481616
2014-10-29,4486754
2014-11-05,4486585
2014-11-12,4488895
2014-11-19,4492759
2014-11-26,4485931
2014-12-03,4486190
2014-12-10,4488865
2014-12-17,4502247
2014-12-24,4509462
2014-12-31,4497660
2015-01-07,4499524
